1,Biryani,150,65,2023-05-01
2,Shawarma,120,69,2023-05-01
3,Appam,30,196,2023-05-01
4,Dosa,70,202,2023-05-01
5,Paratha,40,307,2023-05-01
6,Samosa,20,106,2023-05-01
7,Chicken Curry,140,77,2023-05-01
8,Paneer Tikka,180,52,2023-05-01
9,Mutton Biryani,250,56,2023-05-01
10,Rasam,70,84,2023-05-01
11,Palak Paneer,160,51,2023-05-01
12,Fried Rice,130,83,2023-05-01
13,Gulab Jamun,80,40,2023-05-01
14,Chicken 65,160,91,2023-05-01
15,Butter Chicken,200,69,2023-05-01
16,Veg Meals,110,96,2023-05-01
17,Chappathi,50,318,2023-05-01
18,Aloo Gobi,140,48,2023-05-01
19,Kadai Chicken,200,72,2023-05-01
20,Fish Curry,140,81,2023-05-01

1,Biryani,150,76,2023-05-02
2,Shawarma,120,63,2023-05-02
3,Appam,30,204,2023-05-02
4,Dosa,70,219,2023-05-02
5,Paratha,40,299,2023-05-02
6,Samosa,20,96,2023-05-02
7,Chicken Curry,140,83,2023-05-02
8,Paneer Tikka,180,52,2023-05-02
9,Mutton Biryani,250,60,2023-05-02
10,Rasam,70,85,2023-05-02
11,Palak Paneer,160,56,2023-05-02
12,Fried Rice,130,52,2023-05-02
13,Gulab Jamun,80,30,2023-05-02
14,Chicken 65,160,65,2023-05-02
15,Butter Chicken,200,82,2023-05-02
16,Veg Meals,110,94,2023-05-02
17,Chappathi,50,302,2023-05-02
18,Aloo Gobi,140,41,2023-05-02
19,Kadai Chicken,200,79,2023-05-02
20,Fish Curry,140,66,2023-05-02

1,Biryani,150,80,2023-05-03
2,Shawarma,120,68,2023-05-03
3,Appam,30,192,2023-05-03
4,Dosa,70,214,2023-05-03
5,Paratha,40,309,2023-05-03
6,Samosa,20,96,2023-05-03
7,Chicken Curry,140,89,2023-05-03
8,Paneer Tikka,180,52,2023-05-03
9,Mutton Biryani,250,49,2023-05-03
10,Rasam,70,93,2023-05-03
11,Palak Paneer,160,55,2023-05-03
12,Fried Rice,130,66,2023-05-03
13,Gulab Jamun,80,42,2023-05-03
14,Chicken 65,160,76,2023-05-03
